Rent,Bathrooms,YearBuilt,SqFt,AC,Parking,Rooms
850,1,1960,7,1,1,3
850,2,1960,10,1,1,4
980,1,1975,9,1,1,3
464,1,1950,6,1,1,4
417,1,1920,7.89,0,0,7
425,2,1975,15.5,1,1,6
850,1,1950,3,1,1,5
1050,1,1920,15,1,1,5
850,1,1970,9,0,0,4
500,1,1975,5,0,0,3
585,1,1920,6,0,1,3
125,1,1940,7,0,0,4
525,1,1920,8.5,0,1,5
550,1,1960,6.73,0,0,4
550,1,1960,6.73,0,0,4
860,1,1970,7.6,1,0,3
655,1,1975,6,1,0,4
600,1,1970,5.5,1,0,3
975,1,1960,8,0,0,5
625,1,1950,4,0,1,3
625,1,1950,4,0,1,3
1245,2,1970,12.25,0,0,5
619,1,1960,7,0,0,3
775,1,1975,10.8,0,0,4
650,1,1960,12,1,1,3
1200,2,1920,15.6,1,1,6
1350,2,1970,12.5,1,1,5
950,2,1975,14.4,1,1,5
550,2,1980,10,0,1,4
750,1,1980,12,1,1,5
1025,1,1980,11,1,1,3
725,1,1980,5,1,1,3
319,1,1985,3,0,0,3
1170,2,1980,11,1,1,4
545,1,1985,7,1,1,3
485,1,1980,7.8,0,1,3
775,1,1985,8,1,1,3
575,2,1985,8,1,1,5
800,2,1985,4,1,1,4
975,2,1985,12,1,1,4
1025,1,1985,10,1,1,4
700,2,1985,10,1,1,5
585,1,1985,3,1,1,3
550,1,1985,6,0,1,3
825,1,1980,5,1,1,4
800,2,1991,9,1,1,5
1300,2,1980,11,1,1,4
995,2,1990,10,1,1,4
995,2,1990,10,1,1,4
850,1,1990,10,1,1,5
1250,1,1975,9,0,0,5
425,1,1985,9,1,0,4
520,1,1970,7.25,1,0,4
400,1,1980,3,1,0,2
320,1,1930,3,1,0,2
525,1,1960,5,1,0,3
650,1,1960,4,0,0,2
343,1,1930,0.99,1,0,1
350,1,1930,9,1,0,2
650,1,1940,8.5,0,0,5
425,1,1960,5.5,1,0,3
550,1,1970,4.79,0,1,2
400,1,1940,4,1,1,4
550,2,1920,1.8,0,0,4
400,1,1920,5,1,0,3
370,1,1920,6,1,0,3
525,1,1920,4,1,0,2
550,1,1960,3,1,1,3
400,1,1920,5,1,0,2
450,1,1940,4,1,1,2
391,1,1950,1.2,1,0,1
