bought,region,size,oldest,income,children,race,connection,hispanic
108.14,4,4,3,2,1,5,1,0
459,3,6,9,7,1,1,1,0
148.59,4,5,9,6,0,1,1,0
31.9,4,2,3,7,1,1,1,0
413.4,2,2,6,5,0,1,1,0
5.99,3,3,7,1,1,2,1,0
36.81,4,4,9,7,1,1,1,0
94.77,1,2,9,5,0,1,1,0
31.97,4,2,11,4,0,1,1,1
67.92,3,4,5,5,1,1,1,1
336.78,3,2,7,1,0,1,1,1
124.59,2,2,8,7,0,1,1,0
276.15,4,5,8,4,1,1,1,0
41.9,3,4,6,5,1,1,1,0
315.31,2,3,5,5,1,2,1,0
29.59,3,2,7,6,0,1,1,0
180.35,3,2,7,4,1,1,1,0
20.96,2,2,10,6,1,1,1,0
211.74,4,1,7,1,0,1,1,0
49.97,2,2,10,5,1,1,1,0
5.83,1,3,9,3,1,1,1,1
85.48,1,3,4,7,1,1,1,0
165,4,2,9,7,0,1,1,0
46.98,3,3,8,2,1,2,1,0
41.59,3,3,5,7,1,1,1,0
703.72,2,3,9,5,1,1,1,0
222.75,3,3,3,4,1,1,1,0
576.16,1,4,8,3,1,1,1,0
64.29,3,1,5,5,0,1,1,0
13.88,3,5,10,7,1,1,1,1
26.99,2,3,8,7,1,1,1,1
71.66,4,2,3,3,1,1,1,1
6.95,3,1,9,6,0,1,1,1
14.71,4,1,11,5,0,5,1,0
168.48,1,4,3,7,0,1,1,0
124.5,1,2,6,1,1,1,1,1
28.15,1,3,8,2,1,5,1,0
229.84,3,2,9,5,1,1,1,0
55.15,3,3,10,7,1,1,1,0
144.48,1,2,11,2,0,1,1,0
37.99,3,2,9,1,1,1,1,1
17.79,1,3,9,7,1,1,1,0
194.79,3,3,8,6,1,1,1,0
59.48,2,3,11,5,1,1,1,1
37.97,2,4,9,4,1,1,1,0
125.1,1,4,7,6,1,1,1,0
25.73,2,4,10,7,1,1,1,0
40.48,2,4,7,5,1,1,1,0
102.71,1,2,7,5,0,1,1,0
46.79,3,2,6,6,0,1,1,1
13.75,3,3,5,3,1,1,1,1
569.26,3,3,11,7,1,1,1,0
16.79,1,5,5,2,1,1,1,1
28.9,3,5,5,4,1,1,1,0
20.34,3,2,8,5,0,1,1,1
9.02,3,1,7,7,0,2,1,0
47.47,2,2,8,5,0,1,1,0
43.44,2,2,3,3,0,1,0,0
275.97,3,4,7,7,1,1,1,0
249.99,3,3,6,7,1,1,1,0
75.97,2,5,8,6,1,1,1,0
312.23,1,6,8,7,1,1,1,0
127.02,3,5,5,6,0,1,1,0
56.77,4,5,6,7,1,1,1,0
479.35,4,4,5,5,1,1,1,0
26.81,2,3,7,1,1,1,1,0
87.64,3,2,6,6,1,1,1,0
132.65,4,5,4,2,1,3,1,0
25.64,4,3,8,6,1,1,1,1
294.57,3,6,4,5,1,1,1,0
17.95,3,4,5,7,1,1,1,1
49.3,3,2,9,1,0,2,1,0
80.63,1,4,9,5,1,1,1,1
0.01,4,3,9,7,1,1,1,0
1052.48,2,2,6,7,0,1,1,0
51.86,4,3,10,1,1,5,1,1
166.66,4,2,7,4,1,1,1,1
27.52,4,1,5,5,0,1,1,0
471.63,4,3,5,7,1,1,1,0
12.99,2,2,6,7,0,1,1,1
98.68,4,1,4,4,0,3,1,0
49.95,2,2,9,5,1,1,1,0
134.54,4,2,11,5,1,1,0,0
47.95,3,3,9,6,0,1,1,0
29.99,3,4,5,6,0,1,1,0
61.89,1,3,9,4,1,1,1,0
168.1,2,3,11,4,1,2,1,0
89.85,3,4,4,5,1,1,0,0
186.78,3,2,10,7,0,1,1,0
14.99,2,6,6,4,1,1,1,0
1.99,3,3,8,4,1,1,1,1
360.09,1,2,6,7,1,1,1,0
26.4,1,4,3,1,0,1,1,1
70.11,1,3,9,7,1,1,1,0
19.98,3,3,5,6,1,1,1,0
71.91,4,6,8,7,1,1,1,1
44.96,3,2,7,7,1,1,1,1
13.59,4,1,8,5,0,1,1,0
19.99,3,5,10,4,1,1,1,0
211.55,2,3,5,7,1,1,1,0
14.93,4,3,5,7,1,3,1,0
10.85,2,5,7,6,1,1,1,0
364.21,1,2,11,6,0,1,1,1
28.46,3,3,6,3,1,1,1,0
104.19,3,4,9,7,1,1,1,1
31.5,1,6,6,5,1,1,1,0
42.25,3,4,8,7,1,1,1,0
